trial_id,date,model_config,checkpoint_step,outcome,time_to_completion_sec,safety_clamp_events,avg_loop_latency_ms,stop_reason,notes,video_filename
20,2026-09-02T13:53:30,1cam,20000,timeout_no_touch,180.01,654,94.7,timeout,,trial_020_side.mp4
21,2026-09-02T13:57:05,1cam,20000,timeout_no_touch,180.04,453,94.9,timeout,,trial_021_side.mp4
22,2026-09-02T13:58:43,1cam,20000,full_success,80.66,232,98.1,manual_end,,trial_022_side.mp4
23,2026-09-02T14:03:09,1cam,20000,reach_only,161.26,1232,96.5,manual_end,,trial_023_side.mp4
24,2026-09-02T14:04:44,1cam,20000,full_success,69.15,228,148.5,manual_end,,trial_024_side.mp4
25,2026-09-02T14:11:57,1cam,20000,timeout_grasped,180.1,1344,96.1,timeout,,trial_025_side.mp4
26,2026-09-02T14:13:45,1cam,20000,full_success,93.35,482,102.0,manual_end,,trial_026_side.mp4
27,2026-09-02T14:17:34,1cam,20000,timeout_grasped,180.03,640,94.6,timeout,,trial_027_side.mp4
28,2026-09-02T14:18:56,1cam,20000,full_success,61.89,296,95.0,manual_end,,trial_028_side.mp4
29,2026-09-02T14:22:30,1cam,20000,timeout_object_oob,180.07,714,100.0,timeout,,trial_029_side.mp4
30,2026-09-02T14:39:16,1cam,20000,timeout_grasped,180.08,442,100.9,timeout,,trial_030_side.mp4
31,2026-09-02T14:44:35,1cam,20000,timeout_object_oob,180.05,1204,108.8,timeout,,trial_031_side.mp4
32,2026-09-02T14:48:14,1cam,20000,timeout_no_touch,180.11,521,106.9,timeout,,trial_032_side.mp4
33,2026-09-02T14:51:45,1cam,20000,timeout_grasped,180.05,846,95.2,timeout,,trial_033_side.mp4
34,2026-09-02T14:55:16,1cam,20000,timeout_object_oob,180.02,668,96.9,timeout,,trial_034_side.mp4
35,2026-09-02T14:59:29,1cam,20000,timeout_no_touch,180.53,764,92.4,timeout,,trial_035_side.mp4
36,2026-09-02T15:03:36,1cam,20000,timeout_grasped,180.07,474,105.1,timeout,,trial_036_side.mp4
37,2026-09-02T15:07:32,1cam,20000,timeout_no_touch,180.08,387,102.9,timeout,,trial_037_side.mp4
38,2026-09-02T15:59:51,1cam,20000,timeout_grasped,180.03,429,94.4,timeout,,trial_038_side.mp4
39,2026-09-02T16:03:14,1cam,20000,timeout_grasped,180.08,441,96.5,timeout,,trial_039_side.mp4
40,2026-09-02T16:08:51,1cam,20000,timeout_object_oob,180.07,966,97.9,timeout,,trial_040_side.mp4
41,2026-09-02T16:13:36,1cam,20000,timeout_object_oob,180.02,1054,94.6,timeout,,trial_041_side.mp4
42,2026-09-02T16:19:38,1cam,20000,timeout_no_touch,180.0,353,91.3,timeout,,trial_042_side.mp4
43,2026-09-02T16:23:12,1cam,20000,timeout_object_oob,180.06,951,92.6,timeout,,trial_043_side.mp4
44,2026-09-02T16:26:51,1cam,20000,timeout_no_touch,180.75,481,92.6,timeout,,trial_044_side.mp4
45,2026-09-02T16:28:48,1cam,20000,full_success,96.23,460,95.4,manual_end,,trial_045_side.mp4
46,2026-09-02T16:30:04,1cam,20000,full_success,62.93,290,94.4,manual_end,,trial_046_side.mp4
47,2026-09-02T16:34:05,1cam,20000,timeout_object_oob,180.04,416,106.2,timeout,,trial_047_side.mp4
48,2026-09-02T16:38:18,1cam,20000,timeout_grasped,180.07,744,92.9,timeout,,trial_048_side.mp4
49,2026-09-02T16:41:43,1cam,20000,timeout_grasped,180.02,675,90.4,timeout,,trial_049_side.mp4
50,2026-09-02T16:45:05,1cam,20000,timeout_grasped,180.02,639,94.7,timeout,,trial_050_side.mp4
