trial_id,date,model_config,checkpoint_step,outcome,time_to_completion_sec,safety_clamp_events,avg_loop_latency_ms,stop_reason,notes,video_filename
1,2026-08-30T19:43:59,1cam,20000,timeout_grasped,180.08,531,93.6,timeout,,trial_001_side.mp4
2,2026-08-30T19:50:26,1cam,20000,timeout_no_touch,180.0,646,92.6,timeout,,trial_002_side.mp4
3,2026-08-30T19:53:13,1cam,20000,full_success,72.18,397,98.9,manual_end,,trial_003_side.mp4
4,2026-08-30T20:00:07,1cam,20000,timeout_grasped,180.03,561,95.7,timeout,,trial_004_side.mp4
5,2026-08-30T20:01:08,1cam,20000,full_success,47.18,228,89.3,manual_end,,trial_005_side.mp4
6,2026-08-30T20:05:22,1cam,20000,timeout_grasped,180.07,492,91.4,timeout,,trial_006_side.mp4
7,2026-09-02T12:27:28,1cam,20000,full_success,60.61,254,94.3,manual_end,,trial_007_side.mp4
8,2026-09-02T12:36:43,1cam,20000,timeout_grasped,180.02,649,96.6,timeout,,trial_008_side.mp4
9,2026-09-02T12:44:32,1cam,20000,timeout_no_touch,180.04,549,94.6,timeout,,trial_009_side.mp4
10,2026-09-02T12:48:58,1cam,20000,timeout_no_touch,180.02,802,95.5,timeout,,trial_010_side.mp4
11,2026-09-02T12:53:08,1cam,20000,timeout_no_touch,180.23,748,92.3,timeout,,trial_011_side.mp4
12,2026-09-02T12:58:23,1cam,20000,timeout_grasped,180.61,976,94.9,timeout,,trial_012_side.mp4
13,2026-09-02T13:00:36,1cam,20000,full_success,90.94,409,97.0,manual_end,,trial_013_side.mp4
14,2026-09-02T13:26:09,1cam,20000,timeout_grasped,180.07,613,92.4,timeout,,trial_014_side.mp4
15,2026-09-02T13:29:35,1cam,20000,timeout_grasped,180.34,694,92.3,timeout,,trial_015_side.mp4
16,2026-09-02T13:33:05,1cam,20000,timeout_no_touch,180.06,601,94.9,timeout,,trial_016_side.mp4
17,2026-09-02T13:39:17,1cam,20000,timeout_no_touch,180.05,703,105.8,timeout,,trial_017_side.mp4
18,2026-09-02T13:46:30,1cam,20000,timeout_object_oob,180.05,1060,95.9,timeout,,trial_018_side.mp4
19,2026-09-02T13:49:58,1cam,20000,timeout_no_touch,180.06,653,103.3,timeout,,trial_019_side.mp4
